Names,Niche Link,Atheletic Division,Acceptance Rate,Undergrad #,Graduation Rate,School Website
Indiana University-Purdue University--Indianapolis,https://www.niche.com/colleges/indiana-university-purdue-university---indianapolis-iupui/,NCAA Division I (without football),74%,"17,389",46%,http://www.iupui.edu
Lipscomb University,https://www.niche.com/colleges/lipscomb-university/,NCAA Division I (without football),61%,"2,656",58%,https://www.lipscomb.edu
University of Hartford,https://www.niche.com/colleges/university-of-hartford/,NCAA Division I (without football),72%,"4,508",58%,http://www.hartford.edu
University of North Carolina--Charlotte,https://www.niche.com/colleges/university-of-north-carolina-at-charlotte/,NCAA Division I-FBS,62%,"20,263",57%,http://www.uncc.edu
Widener University,https://www.niche.com/colleges/widener-university/,NCAA Division III (with football),70%,"2,981",57%,http://www.widener.edu
Regent University,https://www.niche.com/colleges/regent-university/,DNE,81%,"2,092",30%,http://www.regent.edu
University of Montana,https://www.niche.com/colleges/university-of-montana/,NCAA Division I-FCS,92%,"7,857",45%,http://www.umt.edu
University of Nevada--Reno,https://www.niche.com/colleges/university-of-nevada---reno/,NCAA Division I-FBS,83%,"15,408",54%,http://www.unr.edu/
University of North Carolina--Greensboro,https://www.niche.com/colleges/university-of-north-carolina---greensboro/,NCAA Division I (without football),74%,"14,116",54%,http://www.uncg.edu
Azusa Pacific University,https://www.niche.com/colleges/azusa-pacific-university/,NCAA Division II (with football),61%,"5,259",70%,http://www.apu.edu
California State University--Fresno,https://www.niche.com/colleges/california-state-university---fresno/,NCAA Division I-FBS,54%,"18,843",57%,http://www.csufresno.edu
Central Michigan University,https://www.niche.com/colleges/central-michigan-university/,NCAA Division I-FBS,72%,"17,190",57%,http://www.cmich.edu
Montana State University,https://www.niche.com/colleges/montana-state-university/,NCAA Division I-FCS,83%,"12,248",53%,http://www.montana.edu/
University of Colorado--Denver,https://www.niche.com/colleges/university-of-colorado---denver/,DNE,61%,"8,530",48%,http://www.ucdenver.edu/
University of North Dakota,https://www.niche.com/colleges/university-of-north-dakota/,NCAA Division I-FCS,84%,"8,827",55%,http://und.edu
Utah State University,https://www.niche.com/colleges/utah-state-university/,NCAA Division I-FBS,90%,"16,991",47%,https://www.usu.edu/
Wayne State University,https://www.niche.com/colleges/wayne-state-university/,NCAA Division II (with football),81%,"12,003",39%,http://www.wayne.edu
