Name,Panopath Link
University of Illinois--Urbana-Champaign,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652507794&idx=1&sn=d0e499c5f2eb3d76d9aa335f6c50420b&chksm=f39da228c4ea2b3ec88e4a1f540e39e293f4c18e255e9b866e687ef1ea9b19d9ba32ca0d741a&scene=21#wechat_redirect
Rensselaer Polytechnic Institute,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652503950&idx=1&sn=0a524b6da46ebdf3f872144ab4e4d1dc&chksm=f39e5334c4e9da2275aaf7b971c697ef496f99437586bd1cd7ea2a899e08d2f3f9f346c5e745&scene=21#wechat_redirect
University of Texas--Austin,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652511905&idx=1&sn=2c55d609490c794ead20fe9e0327681f&chksm=f39db21bc4ea3b0dc6698a29997905e4acdfc3e692f3bd1600e595b6b6d54bad4365936f08ac&scene=21#wechat_redirect
University of Wisconsin--Madison,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652505885&idx=1&sn=ca8abe70926f9566065bf8edfcc07436&chksm=f39daba7c4ea22b1db06448bc88d19ac5928196f29045d519314fa1f8b192f6fc26e5b9d4809&scene=21#wechat_redirect
Villanova University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652512603&idx=1&sn=9b50f70432a4bc1b61500e2c7164b379&chksm=f39d8de1c4ea04f73dd110d8a3d1f96c17567db67ad860f7e547a812270f375bc8a91bb81d14&scene=21#wechat_redirect
Lehigh University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652507083&idx=1&sn=59ac3033fcd7fd2e45426305d799030b&chksm=f39da771c4ea2e674b0610074c251700017cfca8b54f3db7ee0dc3235ffd6da143efedb5fe45&scene=21#wechat_redirect
Syracuse University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652506831&idx=1&sn=0fb6415bb15a9b8b69f01ec6afa4a229&chksm=f39da675c4ea2f633ce4e3ac36ce9cb4f354d0e66573c3a85c8bf1cb02a5c08a3b6e297eaeb2&scene=21#wechat_redirect
University of Miami,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652509244&idx=1&sn=f23640102ec3ab26db22e7de3b94c579&chksm=f39db886c4ea3190045a656f15aaa98f00027152f11c1f99e9e9642b10b0ebe02bf46f3cc335&scene=21#wechat_redirect
Ohio State University--Columbus,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652510166&idx=1&sn=971472fbee65c50db620a7fccc320f01&chksm=f39dbb6cc4ea327a6ea9d1dd43005d10279a734a0c764a5704fc4a5c009688427ffa5f3970fe&scene=21#wechat_redirect
Purdue University--West Lafayette,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504676&idx=1&sn=87c7e5e6890ccced123457201c929141&chksm=f39daedec4ea27c832f00cdba75b9d7ae95606a0a3c105824100b1a779faa9348c6b18a32186&scene=21#wechat_redirect
